%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
265311000000,5034,265292000000,odom,base_link,-0.000248452523265,-1.4384464971e-07,0.0,0.0,0.0,0.000413768909808,0.999999914398,40.1480185848,-45941.1067383,0.0,0.0,0.0,4.020993755e-14,-45941.1067383,66543739.7588,0.0,0.0,0.0,-4.85938324752e-11,0.0,0.0,9.99168052945e-07,2.37266595077e-27,3.9905525511e-20,0.0,0.0,0.0,2.37266595077e-27,9.98338866941e-07,3.06614362003e-36,0.0,0.0,0.0,3.9905525511e-20,-3.29376022346e-36,9.98338866941e-07,0.0,4.020993755e-14,-4.85938324752e-11,0.0,0.0,0.0,0.00264028062187,-1.4461824218e-06,0.0,0.0,0.0,0.0,2.98189273848e-06,0.000506232880617,0.0,0.0,0.0,0.0,0.0,0.0,15751.5977468,0.0,0.0,0.0,0.0,0.0,0.0,9.98753115886e-07,5.82341205704e-36,9.74673021079e-29,0.0,0.0,0.0,5.82341205704e-36,9.95049383593e-07,2.75339436285e-44,0.0,0.0,0.0,9.74673021079e-29,-2.94580847981e-44,9.95049383593e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.000847592440896
265344000000,5035,265332000000,odom,base_link,-0.000248510370201,-1.43892521996e-07,0.0,0.0,0.0,0.000413829048122,0.999999914373,40.1957112715,-46001.5404263,0.0,0.0,0.0,1.9537072972e-13,-46001.5404263,66623074.9401,0.0,0.0,0.0,-2.3608265996e-10,0.0,0.0,9.99168052945e-07,2.38976590666e-27,3.99050556024e-20,0.0,0.0,0.0,2.38976590666e-27,9.98338866941e-07,-1.01195963466e-35,0.0,0.0,0.0,3.99050556024e-20,9.8903419949e-36,9.98338866941e-07,0.0,1.9537072972e-13,-2.3608265996e-10,0.0,0.0,0.0,0.00504248379848,-1.44616535077e-06,0.0,0.0,0.0,0.0,3.00940975007e-06,0.000506231194798,0.0,0.0,0.0,0.0,0.0,0.0,15762.8634685,0.0,0.0,0.0,0.0,0.0,0.0,9.98753115886e-07,5.86538607197e-36,9.7456965842e-29,0.0,0.0,0.0,5.86538607197e-36,9.95049383605e-07,-9.88609647205e-44,0.0,0.0,0.0,9.7456965842e-29,9.69368638177e-44,9.95049383605e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0015169872417
265377000000,5036,265372000000,odom,base_link,-0.000248568216454,-1.43940400502e-07,0.0,0.0,0.0,0.000413886129517,0.999999914349,40.2434599084,-46062.0400148,0.0,0.0,0.0,5.74567253414e-15,-46062.0400148,66702485.7764,0.0,0.0,0.0,-6.94162330016e-12,0.0,0.0,9.99168050653e-07,2.35297194602e-27,3.96426247641e-20,0.0,0.0,0.0,2.35297194602e-27,9.98338848793e-07,-7.17642040689e-36,0.0,0.0,0.0,3.96426247641e-20,6.95218083126e-36,9.98338848793e-07,0.0,5.74567253414e-15,-6.94162330016e-12,0.0,0.0,0.0,0.00144003283192,-1.44614828571e-06,0.0,0.0,0.0,0.0,2.97284644769e-06,0.000506233936361,0.0,0.0,0.0,0.0,0.0,0.0,15774.134561,0.0,0.0,0.0,0.0,0.0,0.0,9.98753108189e-07,5.63642764266e-36,9.37966572791e-29,0.0,0.0,0.0,5.63642764266e-36,9.95048914303e-07,-7.6455259326e-44,0.0,0.0,0.0,9.37966572791e-29,7.26783192124e-44,9.95048914303e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.000472235789628
265411000000,5037,265392000000,odom,base_link,-0.000248597139325,-1.43964342059e-07,0.0,0.0,0.0,0.000413915915078,0.999999914337,40.2673550102,-46092.3143601,0.0,0.0,0.0,4.02230377733e-14,-46092.3143601,66742219.582,0.0,0.0,0.0,-4.85923986237e-11,0.0,0.0,9.99168052945e-07,2.37259323106e-27,3.99043480493e-20,0.0,0.0,0.0,2.37259323106e-27,9.98338866941e-07,2.80269523868e-35,0.0,0.0,0.0,3.99043480493e-20,-2.8254555298e-35,9.98338866941e-07,0.0,4.02230377733e-14,-4.85923986237e-11,0.0,0.0,0.0,0.00264028062187,-1.44613975096e-06,0.0,0.0,0.0,0.0,2.9818890508e-06,0.000506232888618,0.0,0.0,0.0,0.0,0.0,0.0,15779.7721217,0.0,0.0,0.0,0.0,0.0,0.0,9.98753115886e-07,5.8232335756e-36,9.7464426215e-29,0.0,0.0,0.0,5.8232335756e-36,9.95049383593e-07,2.75140736959e-43,0.0,0.0,0.0,9.7464426215e-29,-2.7706487764e-43,9.95049383593e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.000847592440896
265444000000,5038,265432000000,odom,base_link,-0.000248654984554,-1.4401222994e-07,0.0,0.0,0.0,0.000413976053303,0.999999914312,40.3151871584,-46152.9124684,0.0,0.0,0.0,1.95434373627e-13,-46152.9124684,66821744.0022,0.0,0.0,0.0,-2.36075693772e-10,0.0,0.0,9.99168052945e-07,2.38969212801e-27,3.99038780713e-20,0.0,0.0,0.0,2.38969212801e-27,9.98338866941e-07,-1.67597378342e-35,0.0,0.0,0.0,3.99038780713e-20,1.65304973253e-35,9.98338866941e-07,0.0,1.95434373627e-13,-2.36075693772e-10,0.0,0.0,0.0,0.00504248379848,-1.44612268238e-06,0.0,0.0,0.0,0.0,3.00940518049e-06,0.000506231202404,0.0,0.0,0.0,0.0,0.0,0.0,15791.0512727,0.0,0.0,0.0,0.0,0.0,0.0,9.98753115886e-07,5.86520499137e-36,9.74540900507e-29,0.0,0.0,0.0,5.86520499137e-36,9.95049383605e-07,-1.58878594184e-43,0.0,0.0,0.0,9.74540900507e-29,1.56954475494e-43,9.95049383605e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0015169872417
265478000000,5039,265472000000,odom,base_link,-0.0002487128291,-1.4406012404e-07,0.0,0.0,0.0,0.000414033134662,0.999999914288,40.3630753975,-46213.5766193,0.0,0.0,0.0,5.74754385589e-15,-46213.5766193,66901344.2127,0.0,0.0,0.0,-6.94141848435e-12,0.0,0.0,9.99168050653e-07,2.35289994491e-27,3.96414550994e-20,0.0,0.0,0.0,2.35289994491e-27,9.98338848793e-07,2.5143064296e-36,0.0,0.0,0.0,3.96414550994e-20,-2.73853252802e-36,9.98338848793e-07,0.0,5.74754385589e-15,-6.94141848435e-12,0.0,0.0,0.0,0.00144003283192,-1.44610561114e-06,0.0,0.0,0.0,0.0,2.97284303353e-06,0.000506233943591,0.0,0.0,0.0,0.0,0.0,0.0,15802.3357977,0.0,0.0,0.0,0.0,0.0,0.0,9.98753108189e-07,5.63625516756e-36,9.37938897873e-29,0.0,0.0,0.0,5.63625516756e-36,9.95048914303e-07,2.02141095577e-44,0.0,0.0,0.0,9.37938897873e-29,-2.05018488734e-44,9.95048914303e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.000472235789628
265511000000,5040,265492000000,odom,base_link,-0.000248741751117,-1.44084073394e-07,0.0,0.0,0.0,0.000414062920187,0.999999914276,40.3870403524,-46243.9332987,0.0,0.0,0.0,4.0236137094e-14,-46243.9332987,66941172.7562,0.0,0.0,0.0,-4.85909647194e-11,0.0,0.0,9.99168052945e-07,2.37252049317e-27,3.99031705062e-20,0.0,0.0,0.0,2.37252049317e-27,9.98338866941e-07,-1.96633264883e-35,0.0,0.0,0.0,3.99031705062e-20,1.94357372711e-35,9.98338866941e-07,0.0,4.0236137094e-14,-4.85909647194e-11,0.0,0.0,0.0,0.00264028062187,-1.44609707865e-06,0.0,0.0,0.0,0.0,2.98188534666e-06,0.000506232895669,0.0,0.0,0.0,0.0,0.0,0.0,15807.9800759,0.0,0.0,0.0,0.0,0.0,0.0,9.98753115886e-07,5.82305504953e-36,9.74615501234e-29,0.0,0.0,0.0,5.82305504953e-36,9.95049383593e-07,-1.92233691208e-43,0.0,0.0,0.0,9.74615501234e-29,1.90494951266e-43,9.95049383593e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.000847592440897
265544000000,5041,265532000000,odom,base_link,-0.000248799594639,-1.44131976868e-07,0.0,0.0,0.0,0.000414123058321,0.999999914251,40.4350123124,-46304.6961817,0.0,0.0,0.0,1.95498013521e-13,-46304.6961817,67020886.7537,0.0,0.0,0.0,-2.36068727777e-10,0.0,0.0,9.99168052945e-07,2.38961834392e-27,3.9902700657e-20,0.0,0.0,0.0,2.38961834392e-27,9.98338866941e-07,-2.62620818576e-35,0.0,0.0,0.0,3.9902700657e-20,2.60328551903e-35,9.98338866941e-07,0.0,1.95498013521e-13,-2.36068727777e-10,0.0,0.0,0.0,0.00504248379848,-1.44608000991e-06,0.0,0.0,0.0,0.0,3.00940059478e-06,0.000506231209107,0.0,0.0,0.0,0.0,0.0,0.0,15819.2726643,0.0,0.0,0.0,0.0,0.0,0.0,9.98753115886e-07,5.86502389743e-36,9.74512145447e-29,0.0,0.0,0.0,5.86502389743e-36,9.95049383605e-07,-2.54897415808e-43,0.0,0.0,0.0,9.74512145447e-29,2.52793478616e-43,9.95049383605e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0015169872417
265577000000,5042,265572000000,odom,base_link,-0.000248857437478,-1.44179886561e-07,0.0,0.0,0.0,0.000414180139646,0.999999914227,40.4830405042,-46365.5252495,0.0,0.0,0.0,5.74941504667e-15,-46365.5252495,67100676.6768,0.0,0.0,0.0,-6.9412136585e-12,0.0,0.0,9.99168050653e-07,2.35282794169e-27,3.96402853778e-20,0.0,0.0,0.0,2.35282794169e-27,9.98338848793e-07,-2.19785158158e-35,0.0,0.0,0.0,3.96402853778e-20,2.17543031967e-35,9.98338848793e-07,0.0,5.74941504667e-15,-6.9412136585e-12,0.0,0.0,0.0,0.00144003283192,-1.44606294295e-06,0.0,0.0,0.0,0.0,2.97283962218e-06,0.000506233949963,0.0,0.0,0.0,0.0,0.0,0.0,15830.5706298,0.0,0.0,0.0,0.0,0.0,0.0,9.98753108189e-07,5.63608268743e-36,9.37911221607e-29,0.0,0.0,0.0,5.63608268743e-36,9.95048914303e-07,-2.02497648553e-43,0.0,0.0,0.0,9.37911221607e-29,2.02497642045e-43,9.95048914303e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.000472235789628
265611000000,5043,265592000000,odom,base_link,-0.000248886358642,-1.44203843711e-07,0.0,0.0,0.0,0.000414209925135,0.999999914215,40.5070754877,-46395.9644404,0.0,0.0,0.0,4.02492357006e-14,-46395.9644404,67140600.1275,0.0,0.0,0.0,-4.85895309896e-11,0.0,0.0,9.99168052945e-07,2.37244776819e-27,3.99019931405e-20,0.0,0.0,0.0,2.37244776819e-27,9.98338866941e-07,2.79042212062e-36,0.0,0.0,0.0,3.99019931405e-20,-3.01799764681e-36,9.98338866941e-07,0.0,4.02492357006e-14,-4.85895309896e-11,0.0,0.0,0.0,0.00264028062187,-1.44605440829e-06,0.0,0.0,0.0,0.0,2.98188164587e-06,0.000506232901881,0.0,0.0,0.0,0.0,0.0,0.0,15836.2216294,0.0,0.0,0.0,0.0,0.0,0.0,9.98753115886e-07,5.82287655518e-36,9.7458674465e-29,0.0,0.0,0.0,5.82287655518e-36,9.95049383593e-07,2.53642568516e-44,0.0,0.0,0.0,9.7458674465e-29,-2.72883049648e-44,9.95049383593e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.000847592440896
