num,x,y,z,q1,q2,q3,q4
0,-0.50862455368,-4.60599470139,0.0,0.0,0.0,0.999845651959,-0.0175690710839
1,-3.21819829941,-2.56385183334,0.0,0.0,0.0,0.942536332954,0.334103668137
2,-5.9882068634,-0.217566668987,0.0,0.0,0.0,-0.678393637362,0.734698627184
3,-6.22141075134,-4.60398769379,0.0,0.0,0.0,0.383577036486,0.923508883054
4,-0.529021263123,-0.0876638889313,0.0,0.0,0.0,0.374339678865,0.92729165036
